Player,FGM,FG Att,Blk,XPM,XPA,XP_Blk,1-19_A,1-19_M,20-29_A,20-29_M,30-39_A,30-39_M,40-49_A,40-49_M,50+_A,50+_M,PSs,Lng,Team
Mike Wood,27,42,0,63,70,0,0,0,0,0,0,0,0,0,0,0,3,51,LAC
Bill McClard,26,51,0,31,32,0,0,0,0,0,0,0,0,0,0,0,4,42,LAC
Steve DeLine,9,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,2,49,LAC
Dick Van Raaphorst,31,61,0,84,85,0,0,0,0,0,0,0,0,0,0,0,2,0,LAC
Mike Scifres,1,1,0,3,3,0,0,0,0,0,0,0,1,1,0,0,2,40,LAC
Vince Abbott,21,34,0,37,38,0,0,0,0,0,0,0,0,0,0,0,2,48,LAC
Josh Lambo,123,139,1,130,142,6,0,0,29,29,49,48,42,32,19,14,5,57,LAC
Dennis Partee,71,121,0,167,175,0,0,0,0,0,0,0,0,0,0,0,6,0,LAC
Nate Kaeding,174,203,5,346,348,2,4,4,68,66,51,48,63,46,17,10,8,57,LAC
Rolf Benirschke,146,208,0,328,352,0,0,0,0,0,0,0,0,0,0,0,10,53,LAC
Ray Wersching,222,329,0,456,477,0,0,0,0,0,0,0,0,0,0,0,15,53,LAC
Johnny Hekker,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,20,LAR
Mike Burke,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,LAR
Rafael Septien,180,256,0,420,433,0,0,0,0,0,0,0,0,0,0,0,10,53,LAR
Frank Corral,75,124,0,154,160,0,0,0,0,0,0,0,0,0,0,0,4,49,LAR
David Ray,110,178,0,167,175,0,0,0,0,0,0,0,0,0,0,0,5,0,LAR
Bruce Gossett,186,310,0,313,318,0,0,0,0,0,0,0,0,0,0,0,9,0,LAR
Sam Ficken,22,33,1,37,41,0,0,0,5,4,10,8,12,7,6,3,3,54,LAR
Chuck Nelson,63,93,0,175,184,0,0,0,0,0,0,0,0,0,0,0,5,53,LAR
Mike Lansford,158,217,0,315,325,0,0,0,0,0,0,0,0,0,0,0,9,52,LAR
Billy Jenkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LAR
Carlos Huerta,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,LAR
Jeff Hall,4,5,0,9,9,0,0,0,1,1,1,1,2,1,1,1,1,50,LAR
John Lee,8,13,0,14,17,0,0,0,0,0,0,0,0,0,0,0,1,47,LAR
Novo Bojovic,3,7,0,11,12,0,0,0,0,0,0,0,0,0,0,0,1,42,LAR
Steve McLaughlin,8,16,1,17,17,0,1,1,5,4,6,2,3,1,1,0,1,45,LAR
Zach Hocker,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,35,LAR
Jim Gallery,11,25,0,43,44,0,0,0,0,0,0,0,0,0,0,0,2,48,LAR
Steve Little,13,27,0,41,51,0,0,0,0,0,0,0,0,0,0,0,2,51,LAR
Greg Zuerlein,201,245,5,264,270,1,4,4,49,48,77,70,60,46,55,33,8,61,LAR
Jim Bakken,225,356,0,417,436,0,0,0,0,0,0,0,0,0,0,0,13,49,LAR
Jess Atkinson,1,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,3,27,LAR
Doug Moreau,1,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,MIA
Jimmy Keyes,7,16,0,30,30,0,0,0,0,0,0,0,0,0,0,0,1,0,MIA
Willie Beecher,3,4,0,12,12,0,0,0,0,0,0,0,0,0,0,0,1,40,MIA
Joe Nedney,248,309,3,341,344,0,6,6,83,82,89,78,97,65,34,17,14,56,MIA
Andrew Franks,29,37,2,74,78,0,1,1,13,11,10,10,9,5,4,2,2,55,MIA
Jason Sanders,41,50,0,64,66,0,0,0,14,14,12,11,18,12,6,4,2,54,MIA
Karl Kremser,13,23,0,28,29,0,0,0,0,0,0,0,0,0,0,0,2,0,MIA
Dan Carpenter,236,281,5,291,304,2,2,2,71,70,69,65,98,75,41,24,9,60,MIA
Uwe von Schamann,101,149,0,237,250,0,0,0,0,0,0,0,0,0,0,0,6,53,MIA
Pete Stoyanovich,270,338,6,405,410,1,10,10,79,74,86,71,83,59,29,16,12,59,MIA
Olindo Mare,356,439,9,487,493,5,7,7,141,131,130,111,118,88,43,19,16,54,MIA
Fuad Reveiz,186,243,1,360,370,1,5,5,49,46,39,35,44,28,22,8,10,52,MIA
Caleb Sturgis,120,150,4,149,159,0,2,2,36,36,45,40,42,29,25,13,6,55,MIA
Wes Welker,1,1,0,2,2,0,0,0,1,1,0,0,0,0,0,0,2,29,MIA
Mike Michel,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,2,0,MIA
Gene Mingo,31,76,0,86,88,0,0,0,0,0,0,0,0,0,0,0,4,0,MIA
Aaron Elling,18,26,0,48,48,0,0,0,7,7,8,6,7,4,4,1,2,51,MIN
Rick Danmeier,70,106,0,154,166,0,0,0,0,0,0,0,0,0,0,0,5,47,MIN
Fred Cox,226,363,0,396,414,0,0,0,0,0,0,0,0,0,0,0,12,52,MIN
Blair Walsh,154,187,5,193,203,0,3,3,38,37,62,53,49,37,35,24,6,56,MIN
Justin Canale,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NE
Gino Cappelletti,67,140,0,128,132,0,0,0,0,0,0,0,0,0,0,0,5,0,NE
David Posey,11,22,0,29,31,0,0,0,0,0,0,0,0,0,0,0,1,47,NE
Doug Flutie,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NE
Jeff White,14,25,0,21,25,0,0,0,0,0,0,0,0,0,0,0,1,0,NE
Jerrel Wilson,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NE
Joaquin Zendejas,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,NE
Mike Walker,2,8,0,15,15,0,0,0,0,0,0,0,0,0,0,0,1,0,NE
Pat O'Neill,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NE
Rex Robinson,1,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,24,NE
Steve Zabel,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NE
Nick Lowery,383,479,2,562,568,0,2,2,50,49,50,44,41,25,8,4,18,58,NE
Scott Sisson,36,55,3,45,45,0,1,1,21,16,18,14,13,5,2,0,2,44,NE
Teddy Garcia,21,38,0,45,52,0,0,0,0,0,0,0,0,0,0,0,3,50,NE
Charlie Baumann,18,27,3,31,34,2,2,2,6,6,10,4,8,6,1,0,2,46,NE
John Smith,128,191,0,308,323,0,0,0,0,0,0,0,0,0,0,0,10,50,NE
Adam Vinatieri,599,715,13,874,898,10,10,10,207,200,211,179,215,165,72,45,24,57,NE
Stephen Gostkowski,374,428,2,653,664,1,3,3,127,123,139,127,124,96,35,25,14,62,NE
Jason Staurovsky,53,77,2,63,65,1,2,2,3,2,14,10,8,2,0,0,5,53,NE
Jamie Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NO
Jeff Uhlenhake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NO
Taylor Mehlhaff,3,4,0,9,10,0,0,0,1,1,2,1,1,1,0,0,1,44,NO
Tom Jurich,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,NO
Toni Linhart,72,119,0,197,209,0,0,0,0,0,0,0,0,0,0,0,7,45,NO
Tony Galbreath,2,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,27,NO
Russell Erxleben,4,8,0,7,7,0,0,0,0,0,0,0,0,0,0,0,3,38,NO
Charlie Durkee,52,101,0,87,88,0,0,0,0,0,0,0,0,0,0,0,4,0,NO
Wil Lutz,119,136,3,196,202,3,3,3,31,31,31,28,51,45,20,12,4,58,NO
Garrett Hartley,85,104,1,178,179,0,4,4,29,26,35,27,28,22,8,6,6,55,NO
Morten Andersen,565,709,12,849,859,3,7,6,117,115,146,130,141,98,49,24,25,60,NO
Richie Szaro,37,59,0,82,88,0,0,0,0,0,0,0,0,0,0,0,5,50,NO
Tom Dempsey,159,258,0,252,282,0,0,0,0,0,0,0,0,0,0,0,11,51,NO
Bjorn Nittmo,9,12,0,12,13,0,0,0,0,0,0,0,0,0,0,0,1,39,NYG
George Benyola,3,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,45,NYG
Jeff Feagles,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NYG
